model,metric,dataset,slope,p_val
llama,MSP,wmt14_deen,0.44524737149355803,1.355805615368304e-291
llama,PPL,wmt14_deen,-0.07643592420434935,1.0971868555479069e-10
llama,MTE,wmt14_deen,-0.11260850071398291,1.6345495145172284e-22
llama,MCSE,wmt14_deen,0.4282514495159372,2.91320396776428e-309
llama,MCNSE,wmt14_deen,-0.005596910177894556,0.6661714798686251
llama,LSRL,wmt14_deen,0.059157445113196684,6.611163341307872e-05
llama,MSP,wmt14_fren,0.5186350831552103,1.0703617576425766e-305
llama,PPL,wmt14_fren,-0.07864757067915375,8.91315053376163e-28
llama,MTE,wmt14_fren,-0.10228841097826537,1.3747417034504361e-49
llama,MCSE,wmt14_fren,0.4773865231410081,0.0
llama,MCNSE,wmt14_fren,-0.047725004450233796,3.876461907905717e-05
llama,LSRL,wmt14_fren,0.04682637646467579,0.0007705962427792081
llama,MSP,wmt14_csen,0.46650176505704855,0.0
llama,PPL,wmt14_csen,-0.06994222334077588,2.474969190624306e-13
llama,MTE,wmt14_csen,-0.08289850991766161,5.944813213660464e-25
llama,MCSE,wmt14_csen,0.4492047580144877,0.0
llama,MCNSE,wmt14_csen,-0.0035256880944510506,0.7574756535253659
llama,LSRL,wmt14_csen,0.045762011489176475,0.001503576305982553
llama,MSP,wmt14_ruen,0.32887826386141067,2.090055422166125e-275
llama,PPL,wmt14_ruen,-0.06924265812854294,4.082212376191833e-34
llama,MTE,wmt14_ruen,-0.11779682724195388,9.548372673767664e-60
llama,MCSE,wmt14_ruen,0.3872327498154194,0.0
llama,MCNSE,wmt14_ruen,-0.08760856495127209,1.0822131868648285e-16
llama,LSRL,wmt14_ruen,-0.15263928661333162,3.88561503660328e-18
llama,MSP,wmt19_ruen,0.4550133977714146,0.0
llama,PPL,wmt19_ruen,-0.09028043942254914,6.156224410295215e-23
llama,MTE,wmt19_ruen,-0.14189480601094057,4.049812285681757e-56
llama,MCSE,wmt19_ruen,0.35666247650854305,4.36831490856659e-295
llama,MCNSE,wmt19_ruen,-0.09847589757496499,1.5467049621266897e-15
llama,LSRL,wmt19_ruen,-0.061713516597154135,6.548415383620988e-05
llama,MSP,wmt19_fien,0.4780212787135996,3.400515764259147e-291
llama,PPL,wmt19_fien,-0.014157667145609957,0.14966131913988043
llama,MTE,wmt19_fien,-0.07691017758042994,1.4214723384336972e-13
llama,MCSE,wmt19_fien,0.3854697863974777,3.986039292213973e-304
llama,MCNSE,wmt19_fien,-0.004456376131630826,0.7358028556592241
llama,LSRL,wmt19_fien,0.08050494801526527,2.4689922501268137e-07
llama,MSP,wmt19_deen,0.447269902093362,2.1102532399912794e-287
llama,PPL,wmt19_deen,-0.045528763492019834,2.1092234829299873e-05
llama,MTE,wmt19_deen,-0.13033962049258008,2.270156079272327e-30
llama,MCSE,wmt19_deen,0.3145918728717103,4.55e-322
llama,MCNSE,wmt19_deen,-0.025399743989462525,0.06372797799653761
llama,LSRL,wmt19_deen,0.08735943048266376,7.218076830773692e-09
llama,MSP,wmt19_lten,0.42634790298129366,3.89670419201793e-309
