model,metric,dataset,slope,p_val
llama,Comet-wmt22-comet-da,wmt14_deen,-0.027074556478743537,0.17558098951718934
llama,XComet-XCOMET-XXL,wmt14_deen,-0.07262914078998868,0.004256960811371861
llama,metricx-metricx-24-hybrid-large-v2p6,wmt14_deen,-0.0005000694440780338,0.9771995319693887
llama,Comet-wmt22-comet-da,wmt14_fren,-0.0433650639199183,0.0024651088666952353
llama,XComet-XCOMET-XXL,wmt14_fren,-0.07749814390408569,0.001941724181044701
llama,metricx-metricx-24-hybrid-large-v2p6,wmt14_fren,0.010063415728693645,0.5341839660265331
llama,Comet-wmt22-comet-da,wmt14_csen,-0.03241059892472125,0.018716369816367068
llama,XComet-XCOMET-XXL,wmt14_csen,-0.033217880743933066,0.09205835870947134
llama,metricx-metricx-24-hybrid-large-v2p6,wmt14_csen,0.025605232683048113,0.07065007235992586
llama,Comet-wmt22-comet-da,wmt14_ruen,-0.09961470517060406,1.9896471932152877e-10
llama,XComet-XCOMET-XXL,wmt14_ruen,-0.029432331865877237,0.2721740326842772
llama,metricx-metricx-24-hybrid-large-v2p6,wmt14_ruen,-0.027860799485135798,0.13037325220326684
llama,Comet-wmt22-comet-da,wmt19_ruen,-0.03028202658985023,0.010890038801024887
llama,XComet-XCOMET-XXL,wmt19_ruen,0.09020047499641462,5.850684445479515e-06
llama,metricx-metricx-24-hybrid-large-v2p6,wmt19_ruen,0.04361166029153275,0.0012178900964721416
llama,Comet-wmt22-comet-da,wmt19_fien,-0.015760623410521167,0.28818049530111095
llama,XComet-XCOMET-XXL,wmt19_fien,0.06679793501412822,0.005160995937024524
llama,metricx-metricx-24-hybrid-large-v2p6,wmt19_fien,0.05443814663281158,0.0014315654424617939
llama,Comet-wmt22-comet-da,wmt19_deen,-0.17625841744197882,5.3460294057654456e-30
llama,XComet-XCOMET-XXL,wmt19_deen,-0.11763198870093984,1.912909771121971e-10
llama,metricx-metricx-24-hybrid-large-v2p6,wmt19_deen,-0.05679176852438129,5.322180527564612e-05
llama,Comet-wmt22-comet-da,wmt19_lten,-0.017600110064278498,0.22292276230083918
llama,XComet-XCOMET-XXL,wmt19_lten,0.09263951630141852,0.000218953976283266
llama,metricx-metricx-24-hybrid-large-v2p6,wmt19_lten,0.02959162405870436,0.08467565259556359
gemma,Comet-wmt22-comet-da,wmt14_deen,-0.022751684279919037,0.2510337778845588
gemma,XComet-XCOMET-XXL,wmt14_deen,-0.05284350881160577,0.027090906530380706
gemma,metricx-metricx-24-hybrid-large-v2p6,wmt14_deen,0.0014360123489889005,0.9355329357295686
gemma,Comet-wmt22-comet-da,wmt14_fren,-0.028052210501217537,0.04761732935273998
gemma,XComet-XCOMET-XXL,wmt14_fren,-0.05067789769615318,0.03543478779369341
gemma,metricx-metricx-24-hybrid-large-v2p6,wmt14_fren,0.016064511700259933,0.30184012312117275
gemma,Comet-wmt22-comet-da,wmt14_csen,-0.03297348744601578,0.017942337380727754
gemma,XComet-XCOMET-XXL,wmt14_csen,-0.04729720172923291,0.01836094330066755
gemma,metricx-metricx-24-hybrid-large-v2p6,wmt14_csen,0.03486414197232464,0.013125936307223212
gemma,Comet-wmt22-comet-da,wmt14_ruen,-0.1031189649661642,1.1522606008674817e-11
gemma,XComet-XCOMET-XXL,wmt14_ruen,-0.02125970252788027,0.40395526377596025
gemma,metricx-metricx-24-hybrid-large-v2p6,wmt14_ruen,-0.046101363568795864,0.010474762710707292
gemma,Comet-wmt22-comet-da,wmt19_ruen,-0.03413428364343673,0.004084212264229536
gemma,XComet-XCOMET-XXL,wmt19_ruen,0.12009899096905331,3.236492885367169e-09
gemma,metricx-metricx-24-hybrid-large-v2p6,wmt19_ruen,0.049047300774133426,0.00023182582211236035
gemma,Comet-wmt22-comet-da,wmt19_fien,-0.006088162433271032,0.6470805515131799
