model,metric,dataset,slope,p_val
llama,MSP,gsm8k,0.41827385250463983,2.8874685537529147e-211
llama,PPL,gsm8k,-0.10925231731312247,9.36358198026915e-17
llama,MTE,gsm8k,-0.09811841707466133,1.4015655012418748e-15
llama,MCSE,gsm8k,0.27342190099928104,2.1018848526806223e-82
llama,MCNSE,gsm8k,0.09625629699559166,1.1942417443490375e-11
llama,LSRL,gsm8k,0.2188130852620228,2.408054426797516e-49
gemma,MSP,gsm8k,0.32233669292448397,3.02306550952121e-203
gemma,PPL,gsm8k,-0.09972466086360281,2.383129298791059e-18
gemma,MTE,gsm8k,-0.09228085063488177,6.393805777820966e-16
gemma,MCSE,gsm8k,0.26597327645620233,3.278592105027929e-89
gemma,MCNSE,gsm8k,0.08483758051173755,3.4798728711145416e-09
gemma,LSRL,gsm8k,0.27731958645330046,3.0177810219507368e-71
