model,method,gsm8k
gemma,LSRL,0.39424192349781356
gemma,LSRL-LINE,0.3902422167322898
gemma,MCNSE,0.3560989881486637
gemma,MCNSE-LINE,0.3713660427477068
gemma,MCSE,0.3932644724525617
gemma,MCSE-LINE,0.3992569538440846
gemma,MSP,0.3028441948367712
gemma,MSP-LINE,0.29640197245242805
gemma,MTE,0.29151407538513324
gemma,MTE-LINE,0.39864326780718773
gemma,PPL,0.24825509077116434
gemma,PPL-LINE,0.3575625068090862
llama,LSRL,0.3632396053349672
llama,LSRL-LINE,0.36025044605404133
llama,MCNSE,0.34277015063985594
llama,MCNSE-LINE,0.36061847500291094
llama,MCSE,0.3511727186143658
llama,MCSE-LINE,0.3515094977776327
llama,MSP,0.32438775939605236
llama,MSP-LINE,0.3289008153868432
llama,MTE,0.33931452617747204
llama,MTE-LINE,0.3997649935452184
llama,PPL,0.3026300309614496
llama,PPL-LINE,0.37653641156208906
