model,method,xsum
gemma,LSRL,0.04407750343902802
gemma,LSRL-LINE,0.08527331029921499
gemma,MCNSE,0.016304873803436013
gemma,MCNSE-LINE,0.032193711322026065
gemma,MCSE,0.0030731246183665554
gemma,MCSE-LINE,0.032228773943903624
gemma,MSP,0.3507311045057958
gemma,MSP-LINE,0.37771963208948794
gemma,MTE,0.3332207892589499
gemma,MTE-LINE,0.35601917569453895
gemma,PPL,0.3540892065794288
gemma,PPL-LINE,0.3725501067223861
llama,LSRL,0.08802745862439594
llama,LSRL-LINE,0.09873719595962942
llama,MCNSE,0.023595555329887764
llama,MCNSE-LINE,0.02949714116970852
llama,MCSE,0.03256961650775154
llama,MCSE-LINE,0.04254929243148202
llama,MSP,0.3276031491916531
llama,MSP-LINE,0.3569117069389606
llama,MTE,0.35693043645231126
llama,MTE-LINE,0.3504080603081344
llama,PPL,0.36913732454561765
llama,PPL-LINE,0.3656224558535681
