model,method,wmt14_csen,wmt14_deen,wmt14_ruen,wmt14_fren,wmt19_deen,wmt19_fien,wmt19_lten,wmt19_ruen
eurollm,LSRL,0.31715217573867377,0.37517169479923623,0.31440259987242025,0.2922287530582597,0.40434975539859763,0.3467080779853919,0.3175446107106268,0.2588891380731487
eurollm,LSRL-LINE,0.31690958741399816,0.3739525917671691,0.3559842880783196,0.2922668032820002,0.40676015080993405,0.35386166909106154,0.31298119489648923,0.290768679897838
eurollm,MCNSE,0.22516026963927746,0.3567820614965771,0.28236037792387975,0.22111983350603664,0.3378522161280529,0.35511884556999507,0.2772557868511457,0.24489582703142596
eurollm,MCNSE-LINE,0.22029989250182822,0.358743205260461,0.33430207090762837,0.22046361304632306,0.33736682140168545,0.3462117502143236,0.27931506129379297,0.2940844881675894
eurollm,MCSE,0.3511622913544907,0.3588279143001,0.4239800053615889,0.283117118764891,0.41402781758446267,0.21142702409011477,0.3431642287413338,0.42235859759301486
eurollm,MCSE-LINE,0.46209681102633676,0.4660796670675908,0.4562980397259947,0.39553508783788,0.48674070608676256,0.3998107727504701,0.3747610967251543,0.38935785177080406
eurollm,MSP,0.29297723874386566,0.3317633239239606,0.42270688419753316,0.23792238950538458,0.40069959927473187,0.16244145579133945,0.27658473447950394,0.4304800631859134
eurollm,MSP-LINE,0.37395174661194436,0.4612519869031191,0.4996893775091791,0.34240939806156656,0.5071182613903922,0.3936291145845242,0.3405749623495954,0.4358375208069
eurollm,MTE,0.5247172972858595,0.5165715683514618,0.45563488662891766,0.4660276871996841,0.5110970489520962,0.5117610685909972,0.37197876352762277,0.34064107141267563
eurollm,MTE-LINE,0.572164778573043,0.5526184989843317,0.5639263846372549,0.519768285613584,0.5750898424786516,0.5214511384450616,0.4496417192360343,0.4534652121928809
eurollm,PPL,0.5051788647626327,0.5049417287784129,0.4335391795216228,0.43969643090250027,0.5155446385986024,0.48416355098725994,0.35689628849859456,0.3247199723372336
eurollm,PPL-LINE,0.5311124030034439,0.5311921101421534,0.5365639396195883,0.47346933212950654,0.5364370043120107,0.4864477622176622,0.40254352248933933,0.3943879546926203
gemma,LSRL,0.3996484849215278,0.47286596064064196,0.4004864671052671,0.3277667600337111,0.43178410032000986,0.3958858471415503,0.33822376386874453,0.3363172144788169
gemma,LSRL-LINE,0.37992486307451034,0.4625014600641705,0.4473716686605496,0.3192088306048016,0.4111464145721446,0.39992693930266576,0.27909425356531703,0.34960123755752476
gemma,MCNSE,0.4420735577423437,0.5018209055149132,0.4169342151693558,0.37000882095463183,0.4730176039593972,0.4133053838699012,0.35189053097398826,0.3730063674840428
gemma,MCNSE-LINE,0.43770174258355926,0.4993667510220929,0.47987532817937395,0.3885461277816444,0.4912631036997222,0.41374037495512306,0.3513458135262976,0.40539492085381884
gemma,MCSE,0.31858233401029706,0.3079413688029587,0.35338637898536485,0.283131470586384,0.40591280260369245,0.09225852622088578,0.28667081525283494,0.3606208721969693
gemma,MCSE-LINE,0.3944817807635056,0.43123580234388775,0.3754164349441813,0.3521179036201538,0.47186687479463,0.3070330231768505,0.2942182657276923,0.3866277375284459
gemma,MSP,0.3980281934154919,0.3730956509156523,0.42501131738086734,0.28625524250549683,0.4901975324672689,0.1847322612627859,0.3498283077152618,0.4005152831737308
gemma,MSP-LINE,0.4820652165982014,0.5010967761982117,0.47328249654959814,0.38257072909417644,0.5332538773276565,0.4222181165583535,0.3596880328112728,0.41152544945435654
gemma,MTE,0.44278695693537357,0.48888523925686556,0.38436938637560353,0.37135042991652567,0.4361468512985898,0.4868396623505006,0.30168504513458,0.30435909802249644
gemma,MTE-LINE,0.49246490155197953,0.5367015307170576,0.5289827496306675,0.4364891190367375,0.5056805813214285,0.4925729869952176,0.35980252171636157,0.40100376221662676
gemma,PPL,0.4355824600337033,0.483771437778783,0.381592713647498,0.3610052566151823,0.44484457798368865,0.4556923402237238,0.3039736132585588,0.3051826468790683
gemma,PPL-LINE,0.4566554002396981,0.5061035362677894,0.4959991324600618,0.3997238919752696,0.46612034332646013,0.4558441964882471,0.32117314667813057,0.35486659656119635
llama,LSRL,0.44809572362229333,0.443841730665517,0.38173949024506265,0.34554389674186786,0.45991667060211977,0.36787966736238303,0.42037656583567595,0.34711076272805447
llama,LSRL-LINE,0.41186073764483566,0.40799319234694187,0.4358050831675306,0.3243248408793365,0.4042376963904441,0.3667283638282681,0.39954665179432913,0.380174985166118
llama,MCNSE,0.4810979688617009,0.4353442957197908,0.40050846268689416,0.35789758092049007,0.4318546013615363,0.4552029681057542,0.4833246638200708,0.35287193017264856
llama,MCNSE-LINE,0.4856360013824867,0.4412620479574951,0.47338399578612544,0.39467727863319674,0.4496584694759942,0.45659525923824146,0.4847962902932958,0.4385902324387661
llama,MCSE,0.3646169630793558,0.3221173803270793,0.3471265419827787,0.29565874871089726,0.3606553815080882,0.08462610281475262,0.20081155535731213,0.3592330391307836
llama,MCSE-LINE,0.3759817364788187,0.3560863518237088,0.32786513663235045,0.2795818681080751,0.3849707409940348,0.3182376194756673,0.3553952239048909,0.3199067405659707
llama,MSP,0.4244433995724548,0.3943381895702435,0.45269833324634934,0.3494917395284792,0.4579067225503741,0.1863485813804621,0.28781632548855557,0.4314846239557551
llama,MSP-LINE,0.4687667568744989,0.4874111776902879,0.48079256513743174,0.39803671297015736,0.5105719888205362,0.46713456764930067,0.4729009202663231,0.4137886226768542
llama,MTE,0.44451740095477477,0.4785245431008445,0.40644893614942645,0.3737622938890502,0.4179266190225899,0.5396894593140971,0.5183372862935993,0.3306383238915915
llama,MTE-LINE,0.5760739189296077,0.5626331608383074,0.5886034204650681,0.4837290509589576,0.545678281680194,0.560740943932025,0.5553486538768893,0.5258244227906861
llama,PPL,0.4172419203330615,0.45542054956936034,0.3709834106289464,0.3138641956213274,0.4069100472226224,0.5158845940928607,0.47471389456831276,0.315136494187825
llama,PPL-LINE,0.5209564341935427,0.5147907318258307,0.5263241866156294,0.4124305070490263,0.4587300734891074,0.520739074716117,0.49475666635525145,0.46435484031673896
