model,metric,dataset,slope,p_val
llama,MSP,xsum,0.14223600929009286,1.6548741008791268e-10
llama,PPL,xsum,-0.26053881640301785,5.864590814895332e-32
llama,MTE,xsum,-0.28327755325887677,7.746466579016952e-35
llama,MCSE,xsum,0.041674696001553296,0.008475391185517933
llama,MCNSE,xsum,-0.025958307140373105,0.09626494011932524
llama,LSRL,xsum,0.028695537506654416,0.025025945264123276
gemma,MSP,xsum,0.05370443428322476,0.0007639125863508381
gemma,PPL,xsum,-0.2946104539380233,5.552153227664029e-65
gemma,MTE,xsum,-0.3203455278778847,1.5437431549287365e-77
gemma,MCSE,xsum,0.035823808598939876,0.0071522621463881685
gemma,MCNSE,xsum,-0.041457600588603365,0.0014538789004242042
gemma,LSRL,xsum,0.01931392785194099,0.06720632507534477
