Metric,Dataset,Model,Method,ScoreType,Score
XComet XXL,wmt14_csen,EuroLLM 9B,MSP,Raw,0.13321774098202674
XComet XXL,wmt14_csen,EuroLLM 9B,MSP,Detrended,0.2246261412132976
XComet XXL,wmt14_csen,EuroLLM 9B,PPL,Raw,0.39409779777154713
XComet XXL,wmt14_csen,EuroLLM 9B,PPL,Detrended,0.41482383951611507
XComet XXL,wmt14_csen,EuroLLM 9B,MTE,Raw,0.4337246826060549
XComet XXL,wmt14_csen,EuroLLM 9B,MTE,Detrended,0.4636033257167424
XComet XXL,wmt14_csen,EuroLLM 9B,MCSE,Raw,0.18530660043926425
XComet XXL,wmt14_csen,EuroLLM 9B,MCSE,Detrended,0.30585025439988495
XComet XXL,wmt14_csen,EuroLLM 9B,MCNSE,Raw,0.19057394356766935
XComet XXL,wmt14_csen,EuroLLM 9B,MCNSE,Detrended,0.18237385965751865
XComet XXL,wmt14_csen,EuroLLM 9B,LSRL,Raw,0.23011901685344402
XComet XXL,wmt14_csen,EuroLLM 9B,LSRL,Detrended,0.22838822940132772
XComet XXL,wmt14_deen,EuroLLM 9B,MSP,Raw,0.3081182631352261
XComet XXL,wmt14_deen,EuroLLM 9B,MSP,Detrended,0.37392523153379753
XComet XXL,wmt14_deen,EuroLLM 9B,PPL,Raw,0.40499399875758046
XComet XXL,wmt14_deen,EuroLLM 9B,PPL,Detrended,0.44568770733939217
XComet XXL,wmt14_deen,EuroLLM 9B,MTE,Raw,0.41732623167412114
XComet XXL,wmt14_deen,EuroLLM 9B,MTE,Detrended,0.47335429231873793
XComet XXL,wmt14_deen,EuroLLM 9B,MCSE,Raw,0.3053698011866548
XComet XXL,wmt14_deen,EuroLLM 9B,MCSE,Detrended,0.3641228630999021
XComet XXL,wmt14_deen,EuroLLM 9B,MCNSE,Raw,0.27707394738027824
XComet XXL,wmt14_deen,EuroLLM 9B,MCNSE,Detrended,0.2857888176771293
XComet XXL,wmt14_deen,EuroLLM 9B,LSRL,Raw,0.28220870271019155
XComet XXL,wmt14_deen,EuroLLM 9B,LSRL,Detrended,0.2868413141242147
XComet XXL,wmt14_ruen,EuroLLM 9B,MSP,Raw,0.3791069271308132
XComet XXL,wmt14_ruen,EuroLLM 9B,MSP,Detrended,0.4235816754909237
XComet XXL,wmt14_ruen,EuroLLM 9B,PPL,Raw,0.37530305048974666
XComet XXL,wmt14_ruen,EuroLLM 9B,PPL,Detrended,0.49665998975486475
XComet XXL,wmt14_ruen,EuroLLM 9B,MTE,Raw,0.3889944159080252
XComet XXL,wmt14_ruen,EuroLLM 9B,MTE,Detrended,0.5074564368775618
XComet XXL,wmt14_ruen,EuroLLM 9B,MCSE,Raw,0.34847931900174856
XComet XXL,wmt14_ruen,EuroLLM 9B,MCSE,Detrended,0.38130087538281865
XComet XXL,wmt14_ruen,EuroLLM 9B,MCNSE,Raw,0.2290597311379456
XComet XXL,wmt14_ruen,EuroLLM 9B,MCNSE,Detrended,0.2974619874311343
XComet XXL,wmt14_ruen,EuroLLM 9B,LSRL,Raw,0.21782940809979828
XComet XXL,wmt14_ruen,EuroLLM 9B,LSRL,Detrended,0.26585377426878587
XComet XXL,wmt14_fren,EuroLLM 9B,MSP,Raw,0.20532871800014857
XComet XXL,wmt14_fren,EuroLLM 9B,MSP,Detrended,0.23402240564604435
XComet XXL,wmt14_fren,EuroLLM 9B,PPL,Raw,0.3277319240924205
XComet XXL,wmt14_fren,EuroLLM 9B,PPL,Detrended,0.38350232600589657
XComet XXL,wmt14_fren,EuroLLM 9B,MTE,Raw,0.3454074425549853
XComet XXL,wmt14_fren,EuroLLM 9B,MTE,Detrended,0.4302918743608575
XComet XXL,wmt14_fren,EuroLLM 9B,MCSE,Raw,0.26309516256765547
XComet XXL,wmt14_fren,EuroLLM 9B,MCSE,Detrended,0.3353168838373541
XComet XXL,wmt14_fren,EuroLLM 9B,MCNSE,Raw,0.171044911137391
XComet XXL,wmt14_fren,EuroLLM 9B,MCNSE,Detrended,0.17423282315881125
XComet XXL,wmt14_fren,EuroLLM 9B,LSRL,Raw,0.22894775933975434
