Metric,Dataset,Model,Method,ScoreType,Score
Align Score,xsum,Llama 3.1 8B,MSP,Raw,0.3276031491916531
Align Score,xsum,Llama 3.1 8B,MSP,Detrended,0.3569117069389606
Align Score,xsum,Llama 3.1 8B,PPL,Raw,0.36913732454561765
Align Score,xsum,Llama 3.1 8B,PPL,Detrended,0.3656224558535681
Align Score,xsum,Llama 3.1 8B,MTE,Raw,0.35693043645231126
Align Score,xsum,Llama 3.1 8B,MTE,Detrended,0.3504080603081344
Align Score,xsum,Llama 3.1 8B,MCSE,Raw,0.03256961650775154
Align Score,xsum,Llama 3.1 8B,MCSE,Detrended,0.04254929243148202
Align Score,xsum,Llama 3.1 8B,MCNSE,Raw,0.023595555329887764
Align Score,xsum,Llama 3.1 8B,MCNSE,Detrended,0.02949714116970852
Align Score,xsum,Llama 3.1 8B,LSRL,Raw,0.08802745862439594
Align Score,xsum,Llama 3.1 8B,LSRL,Detrended,0.09873719595962942
Align Score,xsum,Gemma 2 9B,MSP,Raw,0.3507311045057958
Align Score,xsum,Gemma 2 9B,MSP,Detrended,0.37771963208948794
Align Score,xsum,Gemma 2 9B,PPL,Raw,0.3540892065794288
Align Score,xsum,Gemma 2 9B,PPL,Detrended,0.3725501067223861
Align Score,xsum,Gemma 2 9B,MTE,Raw,0.3332207892589499
Align Score,xsum,Gemma 2 9B,MTE,Detrended,0.35601917569453895
Align Score,xsum,Gemma 2 9B,MCSE,Raw,0.0030731246183665554
Align Score,xsum,Gemma 2 9B,MCSE,Detrended,0.032228773943903624
Align Score,xsum,Gemma 2 9B,MCNSE,Raw,0.016304873803436013
Align Score,xsum,Gemma 2 9B,MCNSE,Detrended,0.032193711322026065
Align Score,xsum,Gemma 2 9B,LSRL,Raw,0.04407750343902802
Align Score,xsum,Gemma 2 9B,LSRL,Detrended,0.08527331029921499
Acc,gsm8k,Llama 3.1 8B,MSP,Raw,0.32438775939605236
Acc,gsm8k,Llama 3.1 8B,MSP,Detrended,0.3289008153868432
Acc,gsm8k,Llama 3.1 8B,PPL,Raw,0.3026300309614496
Acc,gsm8k,Llama 3.1 8B,PPL,Detrended,0.37653641156208906
Acc,gsm8k,Llama 3.1 8B,MTE,Raw,0.33931452617747204
Acc,gsm8k,Llama 3.1 8B,MTE,Detrended,0.3997649935452184
Acc,gsm8k,Llama 3.1 8B,MCSE,Raw,0.3511727186143658
Acc,gsm8k,Llama 3.1 8B,MCSE,Detrended,0.3515094977776327
Acc,gsm8k,Llama 3.1 8B,MCNSE,Raw,0.34277015063985594
Acc,gsm8k,Llama 3.1 8B,MCNSE,Detrended,0.36061847500291094
Acc,gsm8k,Llama 3.1 8B,LSRL,Raw,0.3632396053349672
Acc,gsm8k,Llama 3.1 8B,LSRL,Detrended,0.36025044605404133
Acc,gsm8k,Gemma 2 9B,MSP,Raw,0.3028441948367712
Acc,gsm8k,Gemma 2 9B,MSP,Detrended,0.29640197245242805
Acc,gsm8k,Gemma 2 9B,PPL,Raw,0.24825509077116434
Acc,gsm8k,Gemma 2 9B,PPL,Detrended,0.3575625068090862
Acc,gsm8k,Gemma 2 9B,MTE,Raw,0.29151407538513324
Acc,gsm8k,Gemma 2 9B,MTE,Detrended,0.39864326780718773
Acc,gsm8k,Gemma 2 9B,MCSE,Raw,0.3932644724525617
Acc,gsm8k,Gemma 2 9B,MCSE,Detrended,0.3992569538440846
Acc,gsm8k,Gemma 2 9B,MCNSE,Raw,0.3560989881486637
Acc,gsm8k,Gemma 2 9B,MCNSE,Detrended,0.3713660427477068
Acc,gsm8k,Gemma 2 9B,LSRL,Raw,0.39424192349781356
Acc,gsm8k,Gemma 2 9B,LSRL,Detrended,0.3902422167322898
